Especie,Empresa,Sector,Último Precio,Var %,CC,PC,PV,CV,Cierre,Min,Max,Total,Oper
COME,Sociedad Comercial del Plata,Consumo,252.5,-7.50%,4010,240,267.5,10000,247.5,241.5,276.5,1.159.442.322,4.510.633
CRES,Cresud,consumo,1530,-4.07%,633,1440,1595,1,1540,1520,1600,961.369.200,625.617
CEPU,Central Puerto,Energético,1715,-5.50%,106,1700,1790,110,1715,1705,1830,2.894.025.080,1.670.468
PAMP,Pampa Energía,Energético,4305,-4.96%,30,4270,4450,50,4305,4300,4590,6.401.464.025,1.460.511
TGNO4,Transp. Gas del Norte,Energético,3985,-2.68%,200,3855,4100,40,3960,3880,4125,1.403.883.035,354.688
TGSU2,Transportadora de Gas del Sur,Energético,7070,-7.58%,304,6950,7300,350,7040,7010,7660,3.645.984.040,501.154
YPFD,YPF,Energético,53450,-2.64%,1,53250,54900,30,53450,53150,55600,28.108.108.000,519.267
BBAR,BBVA Argentina,Financiero,8670,-7.86%,69,8500,8800,16,8640,8550,9430,10.651.457.110,1.215.487
BMA,Banco Macro,Financiero,12725,-6.94%,9,12500,12950,3,12725,12525,13800,6.995.795.900,545.983
BYMA,ByMA,Financiero,491,-4.47%,1000,480,519,90,489.5,485.5,520,1.195.863.599,2.414.940
GGAL,Grupo Financiero Galicia,Financiero,8110,-6.02%,68,8000,8740,65,8110,8080,8690,28.152.771.390,3.411.123
SUPV,Banco Supervielle,Financiero,4350,-6.25%,10,4315,4600,35,4340,4190,4850,7.704.802.395,1.752.800
VALO,Banco de Valores,financiero,448,-0.66%,700,430,475,2950,448,447,456,717.186.834,1.593.682
HARG,Holcim Argentina,Industrial,2325,-3.52%,23,2150,2550,49,2295,2220,2500,75.098.530,32.062
MIRG,Mirgor,Industrial,27200,-0.63%,18,26500,27400,20,27150,26550,27500,139.701.390,5.171
ALUA,Aluar,Materiales,901,-3.22%,116,860,916,20,904,884,942,1.198.289.987,1.305.300
LOMA,Loma Negra,Materiales,2790,-8.22%,299,2700,2940,29,2790,2775,3100,3.289.559.530,1.149.993
TXAR,Ternium Argentina,Materiales,874,-2.99%,2,850,906,120,873,871,910,1.255.002.051,1.414.042
EDN,Edenor,Servicios Públicos,2025,-9.39%,225,2000,2200,65,2025,2015,2225,4.758.549.305,2.271.785
METR,Metrogas,Servicios Públicos,2810,-3.76%,40,2800,2925,10,2825,2810,2915,2.435.262.850,858.81
TECO2,Telecom Argentina,Servicios Públicos,3070,-5.24%,150,2780,3340,80,3050,3020,3275,1.003.384.320,326.887
TRAN,Transener,Servicios Públicos,2660,-6.17%,40,2500,2695,35,2650,2600,2845,2.485.227.900,929.286